,threshold,C_FP,C_FN,TP,FP,FN,TN,Cost,Mean_alerts,Sens,Spec,Precision,F1,Youden
37,0.47000000000000003,4,6,454,220,70,135,1300,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
38,0.47000000000000003,5,3,454,220,70,135,1310,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
39,0.47000000000000003,4,7,454,220,70,135,1370,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
40,0.47000000000000003,5,4,454,220,70,135,1380,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
41,0.001,4,8,524,345,0,10,1380,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
42,0.001,4,9,524,345,0,10,1380,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
43,0.001,4,10,524,345,0,10,1380,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
44,0.47000000000000003,6,1,454,220,70,135,1390,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
45,0.47000000000000003,5,5,454,220,70,135,1450,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
46,0.47000000000000003,6,2,454,220,70,135,1460,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
47,0.47000000000000003,5,6,454,220,70,135,1520,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
48,0.47000000000000003,6,3,454,220,70,135,1530,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
49,0.47000000000000003,5,7,454,220,70,135,1590,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
50,0.47000000000000003,6,4,454,220,70,135,1600,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
51,0.47000000000000003,7,1,454,220,70,135,1610,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
52,0.47000000000000003,5,8,454,220,70,135,1660,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
53,0.47000000000000003,6,5,454,220,70,135,1670,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
54,0.47000000000000003,7,2,454,220,70,135,1680,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
55,0.001,5,9,524,345,0,10,1725,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
56,0.001,5,10,524,345,0,10,1725,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
57,0.47000000000000003,6,6,454,220,70,135,1740,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
58,0.47000000000000003,7,3,454,220,70,135,1750,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
59,0.47000000000000003,6,7,454,220,70,135,1810,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
60,0.47000000000000003,7,4,454,220,70,135,1820,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
61,0.47000000000000003,8,1,454,220,70,135,1830,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
62,0.47000000000000003,6,8,454,220,70,135,1880,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
63,0.47000000000000003,7,5,454,220,70,135,1890,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
64,0.47000000000000003,8,2,454,220,70,135,1900,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
65,0.47000000000000003,6,9,454,220,70,135,1950,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
66,0.47000000000000003,7,6,454,220,70,135,1960,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
67,0.47000000000000003,8,3,454,220,70,135,1970,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
68,0.47000000000000003,6,10,454,220,70,135,2020,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
69,0.47000000000000003,7,7,454,220,70,135,2030,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
70,0.47000000000000003,8,4,454,220,70,135,2040,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
71,0.47000000000000003,9,1,454,220,70,135,2050,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
72,0.47000000000000003,7,8,454,220,70,135,2100,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
73,0.47000000000000003,8,5,454,220,70,135,2110,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
74,0.47000000000000003,9,2,454,220,70,135,2120,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
75,0.47000000000000003,7,9,454,220,70,135,2170,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
76,0.47000000000000003,8,6,454,220,70,135,2180,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
77,0.47000000000000003,9,3,454,220,70,135,2190,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
78,0.47000000000000003,7,10,454,220,70,135,2240,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
79,0.47000000000000003,8,7,454,220,70,135,2250,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
80,0.47000000000000003,9,4,454,220,70,135,2260,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
81,0.47000000000000003,10,1,454,220,70,135,2270,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
82,0.47000000000000003,8,8,454,220,70,135,2320,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
83,0.47000000000000003,9,5,454,220,70,135,2330,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
84,0.47000000000000003,10,2,454,220,70,135,2340,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
85,0.47000000000000003,8,9,454,220,70,135,2390,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
86,0.47000000000000003,9,6,454,220,70,135,2400,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
87,0.47000000000000003,10,3,454,220,70,135,2410,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
88,0.47000000000000003,8,10,454,220,70,135,2460,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
89,0.47000000000000003,9,7,454,220,70,135,2470,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
